native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.137,0.4,0.851,0.727,3.512,2.165,2.089,0.117,0.098,0.085,0.688,1.41,0.486,3.176,0.471,3.23,1.589
0.145,0.319,0.557,0.932,3.343,4.869,2.038,0.12,0.087,0.082,0.647,1.217,0.478,2.259,0.393,3.194,1.435
0.137,0.387,0.516,0.715,3.13,2.085,2.147,0.114,0.079,0.084,0.696,1.279,0.49,2.393,0.543,3.197,1.991
0.152,0.304,0.542,0.72,3.511,1.858,2.059,0.121,0.097,0.082,0.729,1.844,0.465,2.174,0.411,3.098,1.428
0.141,0.304,0.519,0.726,3.02,2.451,2.114,0.113,0.082,0.086,0.774,1.231,0.49,2.446,0.36,3.227,1.433
0.137,0.347,0.549,0.714,2.867,1.965,2.157,0.111,0.091,0.086,0.691,1.215,0.483,2.823,0.358,3.11,1.505
0.137,0.3,0.515,0.805,3.191,2.096,2.291,0.118,0.092,0.086,0.697,1.697,0.585,2.302,0.377,3.167,1.501
0.137,0.296,0.543,0.713,3.104,2.053,2.186,0.119,0.082,0.084,0.644,1.206,0.478,2.377,0.357,3.068,1.515
0.162,0.303,0.544,6.027,2.846,2.763,2.136,0.114,0.083,0.088,0.764,1.218,0.485,2.421,0.36,3.198,1.487
0.137,0.345,0.514,0.715,3.175,1.992,2.134,0.114,0.092,0.086,0.646,1.221,0.483,2.482,0.397,3.131,1.506
0.144,0.316,0.552,0.75,3.7,2.448,2.498,0.123,0.085,0.084,0.698,1.297,0.485,2.716,0.362,3.28,1.421
0.136,0.334,0.822,0.747,3.526,2.023,2.318,0.122,0.091,0.084,0.653,1.123,0.51,2.342,0.432,3.252,1.413
0.144,0.369,0.554,0.758,3.087,2.054,2.131,0.12,0.093,0.087,0.65,1.255,0.477,3.42,0.37,3.049,1.493
0.136,0.298,0.517,0.912,3.307,1.841,2.101,0.119,0.093,0.082,0.644,1.49,0.548,2.405,0.569,3.096,1.427
0.169,0.506,0.533,0.72,3.051,1.913,2.355,0.119,0.091,0.257,0.846,1.31,0.482,2.83,0.372,3.179,1.519
0.137,0.311,8.089,0.715,3.711,2.067,2.162,0.111,0.083,0.082,0.648,1.21,0.476,2.357,0.406,3.205,1.421
0.137,0.303,0.755,0.712,3.184,2.123,2.191,0.111,0.106,0.094,0.641,1.265,0.563,2.464,0.392,3.319,1.456
0.135,0.309,0.561,0.966,2.928,2.508,2.119,0.121,0.094,0.083,0.643,1.176,0.516,2.202,0.423,3.214,1.89
0.135,0.308,0.516,0.76,3.184,1.847,2.036,0.119,0.109,0.089,0.689,1.201,0.479,2.462,0.383,3.41,1.532
0.137,0.307,0.514,0.716,3.699,2.923,2.124,0.113,0.082,0.096,0.692,1.236,0.512,2.694,0.382,3.339,1.521
0.149,0.304,0.617,0.712,3.16,2.077,2.128,0.113,0.087,0.091,0.642,1.223,0.477,2.383,0.382,3.241,1.512
0.167,0.301,0.52,12.722,3.718,2.107,2.208,0.119,0.089,0.082,0.642,1.208,0.478,3.373,0.381,3.113,1.501
0.136,0.305,0.521,0.739,3.2,2.03,2.087,0.111,0.1,0.086,0.686,1.425,0.631,2.21,0.397,3.275,1.542
0.142,0.322,0.519,0.71,2.878,2.159,2.175,0.112,0.089,0.081,0.707,1.258,0.527,2.607,0.368,3.412,1.488
0.135,0.367,0.664,0.762,4.583,2.148,2.483,0.12,0.092,0.09,0.762,1.305,0.481,2.918,0.378,3.322,1.646
6.382,0.308,0.516,0.72,3.229,2.572,2.098,0.114,0.086,0.086,2.997,1.425,0.454,2.302,0.374,3.297,1.541
0.136,0.306,0.53,0.843,3.219,2.017,2.794,0.127,0.089,0.091,0.701,1.248,0.484,2.449,0.379,3.27,1.432
0.14,0.306,0.515,0.72,3.119,2.037,2.765,0.121,0.086,0.081,0.787,1.625,0.549,2.96,0.427,3.225,1.436
0.136,0.301,0.518,0.727,3.08,1.928,2.304,0.119,0.104,0.083,0.638,1.224,0.502,2.261,0.361,4.041,1.427
0.161,0.465,0.76,4.405,4.67,2.152,2.252,0.173,0.134,0.141,0.835,3.338,0.596,2.401,0.449,3.276,1.937
0.136,0.305,0.518,0.721,3.232,2.015,2.022,0.113,0.083,0.089,0.63,1.182,2.579,2.348,0.39,3.005,1.504
0.142,0.299,0.595,0.953,3.063,2.16,2.38,0.111,0.084,0.088,0.762,1.15,0.493,2.326,0.398,3.274,1.653
0.139,0.3,0.526,1.035,2.955,2.009,2.09,0.112,0.12,0.096,0.64,1.271,0.523,2.164,0.389,3.264,1.472
0.136,0.334,0.551,0.767,2.92,1.999,2.222,0.113,0.09,0.086,0.677,1.152,0.48,2.335,0.387,3.035,1.563
0.211,0.305,0.521,0.71,3.055,1.957,2.262,0.119,0.091,0.082,0.631,1.191,0.583,2.226,0.396,3.234,1.438
0.139,0.301,0.515,0.761,3.1,2.018,2.145,0.113,0.081,0.089,0.696,1.2,0.481,2.418,0.366,3.757,1.497
0.221,0.313,0.518,0.708,2.797,1.927,2.005,0.117,0.129,0.087,1.026,1.214,0.48,9.244,0.387,3.438,1.514
0.136,0.346,0.546,0.716,3.04,2.108,2.264,0.112,0.085,0.085,0.67,1.168,0.477,2.358,0.364,3.04,1.502
0.136,0.36,0.518,0.71,3.136,2.403,2.03,0.121,0.088,0.083,0.637,1.293,0.554,2.664,0.392,3.351,1.422
0.138,0.304,0.547,0.721,3.135,2.032,2.15,0.119,0.094,0.083,0.673,1.24,0.478,2.345,0.38,3.208,1.533
0.138,0.338,0.515,0.715,2.924,2.088,2.657,0.114,0.081,0.085,0.662,1.195,0.48,2.396,0.377,3.096,1.516
0.135,0.303,0.516,0.756,3.061,1.935,2.043,0.113,0.089,0.084,0.629,1.253,0.485,2.387,0.372,2.997,1.532
