native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.024,0.062,0.467,0.149,0.03,0.037,0.026,0.318,0.086,0.079,0.537,0.287,0.406,0.338,0.165,0.928,0.239,0.189,0.237
0.026,0.065,0.116,0.026,0.028,0.025,0.024,0.227,0.084,0.087,2.906,0.499,0.329,0.236,0.191,0.641,0.304,0.471,0.2
0.027,0.095,0.105,0.048,0.037,0.031,0.032,0.219,0.08,0.07,0.458,0.342,0.344,0.175,0.139,0.693,0.281,0.158,0.175
0.025,0.062,0.1,0.027,0.025,0.024,0.023,1.925,0.107,0.077,0.614,0.316,0.294,0.123,0.174,0.573,0.234,0.184,0.298
0.027,0.073,0.152,0.032,0.031,0.043,0.037,0.221,0.082,0.065,0.478,0.286,0.29,0.174,0.19,1.147,0.342,0.181,0.204
0.028,0.065,0.133,0.028,0.029,0.032,0.026,0.227,0.084,0.07,0.489,0.311,0.304,0.132,0.21,0.747,0.373,0.174,0.237
0.027,0.077,0.102,0.027,0.027,0.031,0.025,0.324,0.108,0.137,0.685,0.413,0.286,0.23,0.15,0.955,0.214,0.201,0.267
0.029,0.108,0.139,0.027,0.028,0.031,0.03,0.217,0.08,0.065,0.485,1.429,0.52,0.138,0.332,0.5,0.34,0.176,0.186
1.554,0.068,0.107,0.026,0.026,0.028,0.024,0.214,0.079,0.095,0.486,0.818,0.486,0.176,0.208,0.691,0.49,0.179,0.203
0.024,0.06,0.104,0.048,0.028,0.028,0.024,0.22,0.08,0.061,0.442,0.286,0.283,0.128,7.311,0.742,0.419,0.163,0.465
0.026,0.064,0.119,0.048,0.064,0.078,0.031,0.22,0.086,0.137,0.555,0.304,0.302,0.129,0.144,0.963,0.229,0.191,0.201
0.039,0.096,0.1,0.024,0.029,0.028,0.024,0.215,0.244,0.122,0.633,0.3,0.805,0.178,5.85,0.804,0.306,0.178,0.193
0.025,0.063,0.106,0.026,0.028,0.03,0.025,0.214,0.303,0.066,0.601,0.345,0.408,0.181,0.158,0.564,0.185,0.173,2.405
0.025,0.061,0.208,0.16,0.034,0.052,0.07,0.236,0.08,0.068,0.478,0.292,0.315,0.477,0.171,0.578,0.196,0.374,0.294
0.024,0.062,0.098,0.027,0.027,0.029,0.026,0.28,0.085,0.064,0.595,0.459,0.415,0.156,0.188,1.567,0.176,0.169,2.254
0.025,0.062,0.107,0.031,0.029,0.03,0.025,0.224,0.086,0.071,0.472,0.348,0.349,0.14,0.361,0.749,0.604,0.168,0.191
0.026,0.06,0.099,0.025,0.028,0.03,0.042,0.232,0.079,0.076,0.502,0.309,0.334,0.186,0.347,1.029,0.326,0.186,0.213
0.027,0.071,4.13,0.03,0.029,0.034,0.027,0.23,0.095,0.071,0.506,2.145,0.432,0.167,0.269,1.127,4.041,0.182,0.208
0.028,0.065,0.11,0.031,0.029,0.035,0.025,0.234,0.088,0.073,0.512,0.319,0.33,0.13,0.15,8.454,0.487,0.183,0.208
0.025,0.065,0.1,0.029,0.027,0.03,0.025,0.218,0.08,0.072,0.471,0.286,0.328,0.121,0.146,1.465,0.186,0.176,0.207
0.025,0.062,0.102,0.027,0.031,0.034,0.027,0.248,0.08,0.063,0.556,0.372,0.291,0.174,0.145,0.611,0.236,0.212,0.229
0.024,0.064,0.1,0.026,0.027,0.029,0.025,0.23,0.079,0.065,1.835,0.307,0.308,0.174,0.139,0.609,0.225,0.234,0.241
0.026,0.074,0.101,0.026,0.027,0.031,0.026,0.242,0.087,0.071,0.515,0.306,0.31,0.138,0.143,0.756,0.549,0.184,0.211
0.025,0.06,0.098,0.025,0.027,0.032,0.025,0.217,0.087,0.064,0.513,0.371,0.36,0.149,0.155,0.616,0.579,0.209,0.2
0.025,0.059,0.099,0.026,0.026,0.037,0.026,0.964,0.095,0.065,0.445,0.294,0.284,0.168,0.138,0.468,0.206,0.164,0.19
0.024,0.06,0.1,0.027,0.026,0.032,0.025,0.248,0.085,0.072,0.77,0.33,0.311,0.136,0.15,0.639,0.21,0.214,0.211
0.025,0.061,0.103,0.026,0.029,0.032,0.024,0.221,0.08,0.065,0.472,0.297,0.305,0.132,0.149,0.766,0.323,0.174,0.201
0.026,0.06,0.099,0.025,0.028,0.036,0.025,0.213,0.079,0.061,0.465,0.287,0.29,0.173,0.138,0.514,0.192,0.175,0.736
0.026,0.063,0.112,0.03,0.033,0.035,0.035,0.228,0.083,0.069,0.489,0.283,0.291,0.125,0.511,1.477,0.202,0.231,0.205
0.028,0.064,0.106,0.034,0.027,0.027,0.023,0.227,0.089,0.068,0.558,0.301,0.304,0.129,0.145,0.544,0.227,0.197,0.237
0.024,0.059,0.099,0.028,0.028,0.03,0.029,0.216,0.085,0.068,0.536,0.294,0.294,0.129,0.138,0.836,0.337,0.178,0.197
0.026,0.06,0.099,0.026,0.029,0.03,0.025,0.216,0.079,0.065,0.505,0.287,0.385,0.171,0.141,0.681,0.203,0.202,0.212
0.024,0.058,0.099,0.028,0.025,0.033,0.022,0.219,0.081,0.068,0.424,0.287,0.316,0.172,0.138,0.667,0.319,0.161,0.184
0.024,0.059,0.1,0.026,0.03,0.031,0.025,0.249,0.08,0.065,0.447,0.324,0.292,0.237,0.177,0.814,0.3,0.166,0.247
0.025,0.06,0.099,0.043,0.028,0.03,0.025,0.215,0.079,0.064,0.504,0.288,0.313,0.187,0.146,0.583,0.209,0.185,0.199
0.025,0.06,0.119,0.112,0.027,0.031,0.029,0.218,0.083,0.064,0.752,0.29,0.293,0.123,0.138,0.711,0.531,0.187,0.43
0.026,0.059,0.098,0.025,0.025,0.027,0.026,0.229,0.083,0.067,0.52,0.288,0.286,0.227,0.154,0.604,0.217,0.186,0.21
0.027,0.06,0.098,0.029,0.028,0.03,0.025,0.215,0.08,0.066,0.471,0.316,0.367,0.14,0.14,0.693,0.327,0.185,0.199
0.025,0.059,0.1,0.031,0.028,0.027,0.023,0.214,0.082,0.095,0.549,0.288,0.284,0.224,0.138,0.545,0.228,0.202,0.22
0.025,0.059,0.098,0.026,0.027,0.032,0.054,0.214,0.079,0.069,0.455,0.286,0.299,0.123,0.138,0.713,0.306,0.171,0.186
