native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.084,0.088,0.107,0.052,0.051,0.05,0.615,0.777,0.557,0.214,0.199,1.209,0.198,0.176,0.175
0.122,0.126,0.257,0.095,0.077,0.094,0.519,0.298,0.565,0.131,0.172,1.664,0.188,0.166,0.167
0.077,0.137,0.163,0.057,0.055,0.044,1.216,0.287,0.29,0.121,0.17,2.784,0.344,0.211,0.598
0.072,0.079,0.086,0.054,0.044,0.042,0.621,0.408,0.447,13.81,0.167,0.894,0.694,0.164,0.329
0.14,0.078,0.098,0.064,0.052,0.051,0.475,0.463,0.546,0.121,0.165,1.281,0.19,0.243,0.302
0.092,0.078,0.263,0.089,0.05,0.044,0.537,0.409,0.286,0.12,0.165,1.342,0.331,0.257,0.238
0.075,0.076,0.088,0.053,0.045,0.045,1.021,3.31,0.305,0.122,0.171,1.355,0.189,0.246,0.347
0.08,0.132,0.096,0.1,0.052,0.078,0.634,0.495,0.495,0.176,0.19,1.222,0.264,0.255,0.243
0.085,0.144,0.151,0.058,0.087,0.073,0.6,0.329,0.333,0.123,0.168,2.812,0.264,0.347,0.154
0.077,0.144,0.107,0.086,0.047,0.052,0.395,0.298,0.613,0.191,0.199,2.854,0.249,0.206,0.295
0.116,0.079,0.121,0.054,0.044,0.052,1.486,0.532,0.383,0.127,0.192,2.479,0.218,0.174,0.342
0.104,0.133,0.141,0.077,0.049,0.049,0.576,0.294,0.311,0.122,0.184,1.005,0.179,0.164,0.348
0.076,0.122,0.093,0.062,0.046,0.044,0.738,0.464,0.285,0.122,0.171,1.566,0.189,0.167,0.453
0.077,0.079,1.511,0.053,0.071,0.06,0.861,0.46,0.5,0.156,0.249,1.147,0.205,0.2,0.177
0.08,0.102,0.097,0.054,0.048,0.046,0.693,0.565,0.765,0.146,0.186,1.621,0.277,0.24,0.335
0.079,0.144,0.196,0.102,0.05,0.068,0.602,0.293,0.288,0.122,0.185,1.092,0.195,0.28,0.236
0.072,0.079,0.086,0.051,0.044,0.044,0.821,0.377,0.328,0.135,0.201,1.673,0.181,0.181,0.349
0.089,0.092,0.105,0.062,0.062,0.048,0.921,0.298,0.347,0.24,0.372,1.757,0.226,0.241,0.298
0.102,0.078,0.102,0.057,0.047,0.045,1.616,0.498,0.748,0.255,0.249,2.56,0.213,0.215,0.224
0.102,0.146,0.198,0.055,0.051,0.043,1.89,0.296,0.48,0.177,0.175,3.036,0.496,0.338,0.478
0.078,0.113,0.12,0.057,0.053,0.05,1.109,0.774,0.549,0.276,0.215,3.235,0.245,0.21,0.304
0.08,0.078,0.093,0.055,0.045,0.044,0.552,0.484,0.301,0.141,0.169,1.823,0.309,0.195,0.167
0.072,0.144,0.153,0.08,0.143,0.05,0.576,0.306,0.319,0.253,0.312,2.49,0.214,0.344,0.382
0.082,0.25,0.104,0.053,0.047,0.046,0.768,0.29,0.561,0.126,0.179,1.413,0.332,0.247,0.499
0.081,0.134,0.095,0.053,0.047,0.044,1.766,0.389,0.413,0.115,0.158,1.048,0.169,0.325,0.151
0.118,0.166,0.108,0.069,0.044,0.099,0.565,0.561,0.582,0.12,0.354,2.078,0.269,0.195,0.197
0.232,0.08,0.149,0.083,0.084,0.051,0.7,0.337,0.506,0.297,0.16,1.225,0.234,0.354,0.3
